modelo,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc
Dummy_All_Risk,0.40119159949316585,0.5,0.40119159949316585,1.0,0.5726434552395026,0.5,0.40119159949316585
HistGradientBoosting,0.5111746151564985,0.5648528001478313,0.44225590302203466,0.8364804386684048,0.5785999814074556,0.6224792382902508,0.5122652032812317
